date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:36	5973/5973	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2006%20Dec%202021%2005:05:36%20GMT	http://ac.devfitness.in/admin/index.php	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/index.0.delayed	(from )
10:35:36	4563/4563	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2005:05:37%20GMT	http://ac.devfitness.in/admin/login.php	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/login.html	(from )
10:35:37	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:37%20GMT	http://ac.devfitness.in/robots.txt		(from )
10:35:37	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%223de036f-26f1b-5a438baa43200-gzip%22	http://ac.devfitness.in/admin/css/bootstrap.min.css	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/css/bootstrap.min.css	(from http://ac.devfitness.in/admin/login.php)
10:35:37	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:37%20GMT	http://ac.devfitness.in/admin/css/style.css	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/css/style.css	(from http://ac.devfitness.in/admin/login.php)
10:35:37	73625/73625	---M-Z	200	added ('OK')	text/css	etag:%223de0360-11f99-5bac9193a5780-gzip%22	http://ac.devfitness.in/admin/css/all.css	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/css/all.css	(from http://ac.devfitness.in/admin/login.php)
10:35:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:38%20GMT	http://ac.devfitness.in/admin/vendor/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/vendor/fontawesome-free/css/all.min.css	(from http://ac.devfitness.in/admin/login.php)
10:35:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:38%20GMT	http://ac.devfitness.in/admin/css/sb-admin-2.min.css	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/css/sb-admin-2.min.css	(from http://ac.devfitness.in/admin/login.php)
10:35:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:38%20GMT	http://ac.devfitness.in/admin/forgot-password.html	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/forgot-password.html	(from http://ac.devfitness.in/admin/login.php)
10:35:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:39%20GMT	http://ac.devfitness.in/admin/register.html	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/register.html	(from http://ac.devfitness.in/admin/login.php)
10:35:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:39%20GMT	http://ac.devfitness.in/admin/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/vendor/jquery/jquery.min.js	(from http://ac.devfitness.in/admin/login.php)
10:35:39	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:39%20GMT	http://ac.devfitness.in/admin/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/vendor/bootstrap/js/bootstrap.bundle.min.js	(from http://ac.devfitness.in/admin/login.php)
10:35:39	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:39%20GMT	http://ac.devfitness.in/admin/vendor/jquery-easing/jquery.easing.min.js	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/vendor/jquery-easing/jquery.easing.min.js	(from http://ac.devfitness.in/admin/login.php)
10:35:39	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:40%20GMT	http://ac.devfitness.in/admin/js/sb-admin-2.min.js	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/js/sb-admin-2.min.js	(from http://ac.devfitness.in/admin/login.php)
